"scenario","tag","vus","records","depth","sizeKb","duration","requests","rps","latencyAvg","latencyMed","latencyP90","latencyP95","latencyP99","latencyMax","dataReceivedBytes","dataSentBytes","failed"
"post","deno-app-v2.9.2",50,100,"","","60s",94345,1347.10394401743,32.215698021707595,32.110608,49.841331600000004,56.8883222,77.76540123999996,161.736296,1094024620,21510660,0
"post","deno-app-v2.9.2",100,10,"","","60s",482469,6890.402277027882,13.053099083105844,11.785709,24.060028799999998,29.461626399999997,39.62645972,137.861756,599708967,109520463,0
"post","deno-app-v2.9.2",200,10,"","","60s",455966,6511.762850714239,27.399482661668145,25.0267185,47.623140500000005,54.984274,68.40885899999999,159.208668,566765738,103504282,0
"post","deno-app-v2.9.2",50,10,"","","60s",506722,7238.180702766747,6.204145836310538,5.155091499999999,12.770433100000007,15.116921999999978,21.304504699999995,77.50216,629855446,115025894,0
"perf-test","django-app-v6.0.7",1,100,"","","60s",4409,62.95700096464062,8.061325611703348,8.120402,11.515604,12.495068999999999,16.860692800000002,104.606612,344968978,2235363,0
"perf-test","django-app-v6.0.7",100,100,"","","60s",12212,173.2428186681535,431.02430915935133,405.6388835,763.6052861,913.7771326499997,1251.9733413099996,2111.756111,955491304,6196554,0
"perf-test","django-app-v6.0.7",200,100,"","","60s",12143,170.68733439761127,880.7006277586282,799.43844,1500.1034992000002,1945.3595423999996,3299.5988182199994,6139.372825,950092606,6347640,0
"perf-test","django-app-v6.0.7",50,100,"","","60s",12258,174.16785955594852,201.3011604503192,179.0124525,381.3733753,462.6921456999999,633.6692490400001,1190.282244,959090436,6214806,0
"perf-test","django-app-v6.0.7",1,10,"","","60s",15724,224.61986563107243,3.009346978504198,2.5761814999999997,4.754595699999999,5.157564999999998,6.5954396000000015,113.718787,123905120,7956344,0
"perf-test","django-app-v6.0.7",100,10,"","","60s",99042,1413.6631233040143,63.367270139911064,63.566773999999995,91.94707900000002,107.47825499999999,144.3794645099999,359.416065,780450960,50115252,0
"perf-test","django-app-v6.0.7",200,10,"","","60s",98575,1405.6700929889132,122.09453604030331,125.308141,181.30788500000006,204.9195536999999,264.9551627399996,493.675591,776771000,49878950,0
"perf-test","django-app-v6.0.7",50,10,"","","60s",100620,1436.5356816348485,30.61038794527903,29.814960999999997,45.677444,53.30590454999999,79.24515639999996,212.402147,792885600,50913720,0
"perf-test","django-app-v6.0.7",1,1,"","","60s",25083,358.32486577102065,2.4452870203325108,2.233143,3.6789642,3.9647369999999995,5.298091600000001,95.789436,23277024,12666915,0
"perf-test","django-app-v6.0.7",100,1,"","","60s",133835,1910.7778961479728,48.385862522330115,44.877794,70.86069700000002,79.989734,120.65368660000006,305.862154,124198880,67586675,0
"perf-test","django-app-v6.0.7",200,1,"","","60s",132242,1886.8709234916573,98.11218351927423,96.109054,128.21357320000004,158.45331444999985,231.66626239999985,398.758469,122720576,66782210,0
"perf-test","django-app-v6.0.7",50,1,"","","60s",140351,2004.550519836034,22.94453979454372,22.266267,31.16844,36.2183835,66.07753149999999,160.433652,130245728,70877255,0
"perf-test","django-app-v6.0.7",1,500,"","","60s",1012,14.4527448585963,33.433566257905184,35.243492,44.2405312,46.72862599999999,58.76065863999999,70.403995,399508252,513084,0
"perf-test","django-app-v6.0.7",100,500,"","","60s",2596,36.032220812609836,1097.726984378656,801.0346545,2243.030677,2568.60601875,3120.929180800005,3914.131958,1024825516,1683240,0
"perf-test","django-app-v6.0.7",200,500,"","","60s",2674,35.94594408181279,2057.652123838821,1767.5940195,3702.4123928000004,4173.923143749998,5167.06069379,6223.432426,1055617654,1660932,0
"perf-test","django-app-v6.0.7",50,500,"","","60s",2594,36.62710726623982,438.8695538203544,386.272238,738.8441399000002,886.2750949499996,1447.1107313600003,2402.812458,1024035974,1344564,0
"large","django-app-v6.0.7",25,"","",100,"60s",93660,1337.7004835682571,15.996778685693139,15.089126499999999,24.7747379,28.844056950000002,45.308268500000004,133.457024,9606612540,10583580,0
"large","django-app-v6.0.7",50,"","",100,"60s",93107,1329.452874777978,33.100940007131655,31.788528,49.902129800000004,59.2645767,89.10846846000003,299.082787,9549891883,10521091,0
"large","django-app-v6.0.7",25,"","",500,"60s",22546,321.7772584816197,63.40574895852899,60.841149,94.5295605,111.47475825,149.75906444999998,293.082701,11548579758,2547698,0
"large","django-app-v6.0.7",50,"","",500,"60s",22923,326.7609185797658,133.43256021812192,131.526205,191.516028,215.6297309999999,276.36840281999986,516.051081,11741687829,2590299,0
"params","django-app-v6.0.7",100,"","","","60s",160786,2296.0112679877566,40.289907969177136,38.993052,55.870490000000004,63.467635,97.32922434999999,216.149338,34247418,59169248,0
"params","django-app-v6.0.7",200,"","","","60s",153297,2188.310025378481,84.68680439869807,83.442113,109.52612339999999,126.22694219999997,189.14970624000014,330.21642,32652261,56413296,0
"params","django-app-v6.0.7",50,"","","","60s",168791,2410.7532903331194,19.12010237373446,18.756364,25.002311,28.5617135,44.76653400000002,150.733354,35952483,62115088,0
"minimal","django-app-v6.0.7",100,"","","","30s",104091,2600.842081790132,33.50413430344595,34.175201,46.642375,53.5030905,81.54777990000001,207.300092,21234564,9784554,0
"minimal","django-app-v6.0.7",200,"","","","30s",99396,2480.7626096714453,70.37142614875863,73.351058,97.224151,109.65309574999999,152.77976050000004,272.070018,20276777,9343224,0
"minimal","django-app-v6.0.7",500,"","","","30s",93482,2330.7704671090682,187.355164687801,196.426485,240.66958290000008,303.66937945,409.25991708,530.715833,19070328,8787308,0
"nested","django-app-v6.0.7",100,100,1,"","60s",131673,1878.7308062550815,47.68724829742581,48.257831,68.992153,79.58796,112.31468751999999,261.551119,570144090,15142395,0
"nested","django-app-v6.0.7",50,100,1,"","60s",137478,1963.2861458140346,22.465633889262406,21.547237000000003,35.067854000000004,39.90512535,57.266448800000056,150.096713,595279740,15809970,0
"nested","django-app-v6.0.7",100,100,2,"","60s",129493,1848.3678737954099,48.5104971636687,49.170435,70.164878,80.709372,109.46668732000002,254.918159,677248390,14891695,0
"nested","django-app-v6.0.7",50,100,2,"","60s",133058,1900.2399195040057,23.16583140386925,22.3709215,35.942897,40.730777999999994,57.495602699999964,175.225428,695893340,15301670,0
"nested","django-app-v6.0.7",100,100,3,"","60s",126133,1800.3382975211416,49.707489813990406,50.484435,72.063725,83.14464519999997,114.69952579999989,328.149548,773195290,14505295,0
"nested","django-app-v6.0.7",50,100,3,"","60s",130854,1868.6837464374798,23.53564928401929,22.6702835,36.6745034,41.598705,59.997168730000006,154.925664,802135020,15048210,0
"post","django-app-v6.0.7",100,100,"","","60s",88865,1267.575217616828,70.03094453766919,70.931713,104.01103900000001,117.72660200000001,164.9416758,300.837469,1193456950,20438950,0
"post","django-app-v6.0.7",200,100,"","","60s",85803,1223.3113859450516,138.83439702160845,141.463163,208.89650300000002,230.54105389999995,315.91558857999985,733.168027,1152334290,19734690,0
"post","django-app-v6.0.7",50,100,"","","60s",89977,1284.2428066746083,33.851234852351276,33.563014,51.46904240000001,59.3390056,83.74361236000001,235.863068,1208391110,20694710,0
"post","django-app-v6.0.7",100,10,"","","60s",160905,2297.74982196895,40.125589614754055,38.821037,55.74994100000001,64.7518162,99.03200715999995,271.91759,234438585,36847245,0
"post","django-app-v6.0.7",200,10,"","","60s",157591,2249.6092475837263,82.29839511506842,81.369379,106.290168,126.14937950000001,179.8290690000001,315.133467,229610087,36088339,0
"post","django-app-v6.0.7",50,10,"","","60s",174443,2491.6348801934837,18.416449429905544,17.866859,24.579614800000023,27.9139669,42.69175321999994,106.102992,254163451,39947447,0
"perf-test","express-app-v5.2.1",1,100,"","","60s",5820,83.13553829030431,4.946391658591055,4.9895785,6.326659,6.915657,9.7515496,33.434078,425034600,2956560,0
"perf-test","express-app-v5.2.1",100,100,"","","60s",11442,162.16737227882672,448.7185002313399,423.128355,814.4127530000001,981.0275517499985,1308.72531453,2683.266755,835609260,5812028,0
